Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors,analysis_uses_genai,analysis_genai_intensity,analysis_models_mentioned,analysis_build_patterns,analysis_market_type,analysis_sub_vertical,analysis_target_market,analysis_newsletter_potential,analysis_technical_depth,analysis_confidence_score,analysis_competitors,analysis_competitive_moat
Series C - Waabi,https://www.crunchbase.com/funding_round/waabi-series-c--9d3fc104,Series C,750000000,USD,750000000,2026-01-28,Late Stage Venture,Waabi develops autonomous driving technology and physical artificial intelligence systems for the transportation sector.,https://waabi.ai,4,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Machine Learning","Toronto, Ontario, Canada, North America","G2 Venture Partners, Khosla Ventures",No,unclear,,Vertical Data Moats; Guardrail-as-LLM; Agentic Architectures; Continuous-learning Flywheels,vertical,autonomous transportation and logistics,b2b,high,high,0.4,,
Series B - Emergent,https://www.crunchbase.com/funding_round/emergent-02ef-series-b--f58fdbc3,Series B,70000000,USD,70000000,2026-01-20,Early Stage Venture,Emergent is an AI-powered software creation platform that enables users to build full-stack web and mobile applications.,https://app.emergent.sh,4,"Artificial Intelligence (AI), Developer Platform, Software","Pleasanton, California, United States, North America","Khosla Ventures, SoftBank Vision Fund",No,unclear,,Natural-Language-to-Code; Continuous-learning Flywheels; Vertical Data Moats,horizontal,AI-powered application development platforms,b2b2c,high,low,0.2,,
Series E - xAI,https://www.crunchbase.com/funding_round/xai-series-e--57814e0e,Series E,20000000000,USD,20000000000,2026-01-06,Late Stage Venture,XAI is an artificial intelligence startup that develops AI solutions and tools to enhance reasoning and search capabilities.,https://x.ai,9,"Artificial Intelligence (AI), Foundational AI, Generative AI, Information Technology, Machine Learning","Palo Alto, California, United States, North America",,Yes,core,Grok; Grok 4; Grok 4.1; Grok 3; Grok 2; Grok 1.5 Vision; Grok-1; Aurora (image generation model),Agentic Architectures; RAG (Retrieval-Augmented Generation); Micro-model Meshes; Continuous-learning Flywheels; Guardrail-as-LLM; Vertical Data Moats; Knowledge Graphs,horizontal,AI-powered productivity and collaboration platforms,b2b,high,high,1.0,,
Series D - Torq,https://www.crunchbase.com/funding_round/torq-technologies-series-d--737199d9,Series D,140000000,USD,140000000,2026-01-11,Late Stage Venture,Torq is an AI-first no-code automation platform that unifies and automates workflows and processes across modern enterprise security.,https://torq.io,7,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Software","Tel Aviv, Tel Aviv, Israel, Asia",Merlin Ventures,Yes,core,,Agentic Architectures; Micro-model Meshes; Vertical Data Moats; Guardrail-as-LLM; Continuous-learning Flywheels; RAG (Retrieval-Augmented Generation),horizontal,"security automation and orchestration (SOAR), autonomous SOC, AI-driven SecOps",b2b,high,high,0.9,,
Series C - Deepgram,https://www.crunchbase.com/funding_round/deepgram-series-c--69109cc6,Series C,143168046,USD,143168046,2026-01-13,Late Stage Venture,"Deepgram provides a voice artificial intelligence platform for speech-to-text, text-to-speech, and voice applications.",https://deepgram.com,9,"Artificial Intelligence (AI), Data Collection and Labeling, Developer APIs, Natural Language Processing, Speech Recognition","San Francisco, California, United States, North America",AVP,Yes,core,,Agentic Architectures; Vertical Data Moats; Micro-model Meshes,horizontal,AI-powered speech APIs and infrastructure,b2b,high,high,0.95,,
Series B - Outtake,https://www.crunchbase.com/funding_round/outtake-series-b--80cde4c5,Series B,40000000,USD,40000000,2026-01-28,Early Stage Venture,"Outtake is a digital trust platform automating threat classification, detection, and response to enhance enterprise cybersecurity measures.",https://www.outtake.ai,2,"Artificial Intelligence (AI), Cyber Security, Machine Learning","Brooklyn, New York, United States, North America",ICONIQ Capital,Yes,core,OpenAI,Agentic Architectures; Knowledge Graphs; Vertical Data Moats; RAG (Retrieval-Augmented Generation); Guardrail-as-LLM,horizontal,digital risk protection and threat intelligence,b2b,high,high,0.9,,
Series A - Neurophos,https://www.crunchbase.com/funding_round/neurophos-series-a--72825b78,Series A,110000000,USD,110000000,2026-01-22,Early Stage Venture,Neurophos develops photonic AI processing technology that focuses on hardware solutions for accelerating artificial intelligence inference.,https://www.neurophos.com,5,"Artificial Intelligence (AI), Data Center, Hardware","Austin, Texas, United States, North America",Gates Frontier Fund,No,none,,Vertical Data Moats; Agentic Architectures,horizontal,AI hardware / photonic computing for data centers and hyperscale AI workloads,b2b,high,high,0.95,,
Series D - ClickHouse,https://www.crunchbase.com/funding_round/clickhouse-series-d--62e4ee67,Series D,400000000,USD,400000000,2026-01-16,Late Stage Venture,ClickHouse provides an open-source database system for real-time analytical reporting.,https://clickhouse.com,7,"Analytics, Artificial Intelligence (AI), Big Data, Database, Software","Mountain View, California, United States, North America",Dragoneer Investment Group,Yes,enhancement,,Agentic Architectures; RAG (Retrieval-Augmented Generation); Vertical Data Moats,horizontal,real-time analytics infrastructure,b2b,high,medium,0.7,,
Series C - Skild AI,https://www.crunchbase.com/funding_round/skild-ai-series-c--07950a49,Series C,1400000000,USD,1400000000,2026-01-14,Late Stage Venture,Skild AI develops artificial intelligence systems that enable robots to act in physical environments.,https://www.skild.ai,3,"Artificial Intelligence (AI), Information Technology, Robotics","Pittsburgh, Pennsylvania, United States, North America",SoftBank Group,Yes,core,,Agentic Architectures; Continuous-learning Flywheels; Vertical Data Moats; Micro-model Meshes,horizontal,"robotics automation for manufacturing, logistics, and inspection",b2b,high,high,0.85,,
Series D - Parloa,https://www.crunchbase.com/funding_round/parloa-series-d--3b5b1d33,Series D,350000000,USD,350000000,2026-01-15,Late Stage Venture,Parloa is an AI agent management platform that supports contact centers in automating and enhancing customer interactions.,https://parloa.com,5,"Artificial Intelligence (AI), Chatbot, Generative AI, SaaS, Software","Berlin, Berlin, Germany, Europe",General Catalyst,Yes,core,,Agentic Architectures; Vertical Data Moats; Continuous-learning Flywheels; RAG (Retrieval-Augmented Generation); Guardrail-as-LLM,horizontal,contact center automation,b2b,medium,medium,0.9,,
