Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors,analysis_uses_genai,analysis_genai_intensity,analysis_models_mentioned,analysis_build_patterns,analysis_market_type,analysis_vertical,analysis_sub_vertical,analysis_target_market,analysis_unique_findings,analysis_newsletter_potential,analysis_technical_depth,analysis_confidence_score,analysis_content_analyzed_chars,analysis_timestamp,analysis_competitors,analysis_differentiation,analysis_secret_sauce,analysis_competitive_moat
Series B - Basis,https://www.crunchbase.com/funding_round/basis-d271-series-b--4611f54a,Series B,100000000,USD,100000000,2026-02-24,Early Stage Venture,Basis provides an AI agent platform that automates accounting workflows for professionals.,https://www.getbasis.ai,4,"Accounting, Artificial Intelligence (AI), Information Technology","New York, New York, United States, North America","Accel, Google Ventures, Khosla Ventures, Lloyd Blankfein",No,none,,,vertical,financial_services,accounting workflow automation,b2b,"Stylus-first design system: Basis is built around Stylus mixins and placeholders rather than relying primarily on precompiled CSS classes. The project explicitly encourages importing only the mixin/core (basis-core) so teams can generate bespoke components instead of adopting opinionated classes — a more composition-friendly approach than many CSS frameworks that prioritize utility classes. | FLOCSS architecture applied to a lightweight framework: Instead of BEM/atomic-only, Basis adopts FLOCSS (a modular, layered CSS architecture) which structures code into foundation/objects/components/layouts. This suggests an intent to scale the codebase across multiple product teams while keeping styles decoupled. | Vertical rhythm as a first-class primitive: Basis incorporates vertical rhythm into the core (spacing and typographic scale baked into mixins/placeholders). Explicitly managing line-height/spacing at the framework level is unusual for small CSS frameworks and reduces ad-hoc spacing decisions in downstream apps.",medium,unknown,0.60,10123,2026-03-07T20:05:55.157903+00:00,Vic.ai; Botkeeper; Pilot (now part of larger finance services); Dext / Receipt Bank / AutoEntry; Intuit (QuickBooks + AI features); BlackLine / Trintech; UiPath / Automation Anywhere (RPA vendors); Xero (with automation ecosystem),"Positioning as an AI agent platform that automates entire accounting workflows for professionals — agents that can take actions across systems and processes rather than point solutions (e.g., only invoice OCR or reconciliation).","A purpose-built AI agent platform trained and architected specifically for accounting workflows that combines domain-specific models, workflow orchestration, deep integrations with accounting systems, and professional-grade auditability (so accountants can trust and act on agent outputs).",medium
Series D - Waymo,https://www.crunchbase.com/funding_round/waymo-series-d--4bf790a1,Series D,16000000000,USD,16000000000,2026-02-02,Late Stage Venture,Waymo is a mobility technology company that improves transportation by developing self-driving solutions for travelers and daily commuters.,https://waymo.com,5,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Sensor, Transportation","Mountain View, California, United States, North America","Alphabet, Dragoneer Investment Group, DST Global, Sequoia Capital",No,none,Waymo Driver; 6th-generation Waymo Driver,Continuous-learning Flywheels; Vertical Data Moats; Micro-model Meshes; Guardrail-as-LLM (safety/validation layer); Agentic Architectures; RAG (Retrieval-Augmented Generation) — possible/limited; Knowledge Graphs; Natural-Language-to-Code,horizontal,industrial,autonomous mobility and logistics (autonomous ride-hailing and local goods delivery),b2b2c,"Treating each vehicle as a mobile weather station and using per-vehicle observations to inform both local control and fleet-wide model updates. This is more than telemetry — it implies a real-time, decentralized-to-centralized data loop where friction/surface-state estimates from wheel slip, lidar/radar signatures, and visual cues are fused per-vehicle and then aggregated to update city-wide maps and behavior policies. | Explicit surface-state classification in perception (distinguishing snow, slush, ice, normal pavement) and using that classification to modulate longitudinal/lateral control parameters in real time. That requires sensor-fusion models that translate disparate signals (lidar intensity, radar Doppler/reflectivity, camera appearance, IMU/wheel-speed anomalies) into traction estimates usable by the controller. | Combining closed-course extreme-event training (e.g., forced loss-of-traction on ice) with year-round, large-scale simulation that replays rare weather events — a sim-to-real pipeline focused on tail-risk events rather than just average-case driving. They emphasize teaching the stack to recover from traction failures, implying specialized simulators and dynamics models for low-friction regimes.",high,medium,0.65,92350,2026-03-07T20:11:46.606623+00:00,Cruise (GM-backed); Tesla (FSD); Motional; Aurora; Zoox (Amazon-owned); Nuro; Mobileye (Intel); Pony.ai,"Operating a commercial, fully driverless (L4) ride-hailing service at scale across multiple complex urban environments, backed by a large real-world autonomous-mile and trip dataset and an integrated hardware+software+operations stack focused on safety and generalizability.","A large, real-world operational dataset and fleet that feed a vertically integrated Driver (hardware + perception + planning + simulation + operations) combined with an institutionalized safety, regulatory and city-engagement playbook—creating network effects between data, validation, and safe commercial service expansion.",high
Series E - SambaNova,https://www.crunchbase.com/funding_round/sambanova-systems-series-e--7cd6032d,Series E,350000000,USD,350000000,2026-02-09,Late Stage Venture,SambaNova is an AI hardware and software company that specializes in providing infrastructure for AI and machine learning applications.,https://sambanova.ai,8,"AI Infrastructure, Analytics, Artificial Intelligence (AI), Machine Learning, Semiconductor, Software","Palo Alto, California, United States, North America","Cambium Capital Partners, Vista Equity Partners",Yes,core,DeepSeek V3; Llama 3.3 70B; Llama Maverick; DeepSeek R1,RAG (Retrieval-Augmented Generation); Agentic Architectures; Micro-model Meshes; Natural-Language-to-Code; Continuous-learning Flywheels; Guardrail-as-LLM; Knowledge Graphs; Vertical Data Moats,horizontal,developer_tools,AI infrastructure for model deployment and inference optimization,b2b,"Compound agent architecture with XML-based routing: Their Agents repo describes an explicit 'compound agent' construct that uses XML to route requests into specialized subgraphs. Using XML as the routing/DSL surface for agent orchestration is atypical (most systems prefer JSON/YAML/DSLs or native graph objects). This suggests they built or adopted a document-like schema to express multi-step, multi-agent workflows and routing logic in a serialized, editor-friendly format. | Subgraph specialization + dynamic tool loading: The system is organized into named subgraphs (Financial Analysis, Deep Research, Data Science, Code Execution) and dynamically loads tools based on user context and permissions. That implies a runtime capability negotiation layer (what tools are available per-context/role) and an orchestration substrate that can spawn or route work to specialized agent teams—nontrivial engineering for state, billing, and security. | Secure, integrated code-execution sandbox (Daytona) baked into agent workflows: They integrate a secure sandbox to execute code and produce artifacts (PDF/HTML/images/CSV). The stack automatically detects code execution and opens a 'Daytona Sidebar' and auto-ingests generated artifacts. That shows they're solving sandbox lifecycle, artifact ingestion, and safe I/O plumbing tightly with agent reasoning and UI.",medium,high,0.80,23206,2026-03-07T20:08:43.586766+00:00,NVIDIA; Cerebras; Graphcore; Intel (Habana Labs / Gaudi) / AWS Inferentia / Google TPU; Hugging Face / Replicate / Cohere / OpenAI; Databricks / MosaicML,"An integrated, enterprise‑focused AI stack that spans cloud, managed services, and on‑prem/air‑gapped deployments, combined with developer tooling and curated model offerings.","Vertical integration of infrastructure (hardware‑accelerated platform), curated models and an enterprise‑ready software ecosystem (deployment tooling, SDKs, integrations, managed/cloud/on‑prem options) that simplifies producing and running AI workloads in restricted environments.",medium
Series D - Wayve,https://www.crunchbase.com/funding_round/wayve-9739-series-d--25182e23,Series D,1200000000,USD,1200000000,2026-02-24,Late Stage Venture,Wayve develops autonomous driving technology using end-to-end deep learning models that enable vehicles to navigate urban environments.,https://wayve.ai,10,"Artificial Intelligence (AI), Autonomous Vehicles, Electric Vehicle, Machine Learning","London, England, United Kingdom, Europe","Balderton Capital, Eclipse Ventures, SoftBank Vision Fund",Yes,core,GAIA-2; GAIA-1; LINGO-2,Knowledge Graphs; Natural-Language-to-Code; Guardrail-as-LLM; Micro-model Meshes; Continuous-learning Flywheels; RAG (Retrieval-Augmented Generation); Agentic Architectures; Vertical Data Moats,vertical,industrial,autonomous delivery and urban fleet logistics,b2b,"Purpose-built generative world model (GAIA-2) focused on multi-camera, long-horizon driving video synthesis using a latent diffusion backbone — not a generic video model repurposed for driving but an architecture tuned for spatiotemporal multi-view consistency and vehicle-centric control. | Fine-grained controllability over both ego-vehicle state and agent behaviors: GAIA-2 claims programmatic manipulation of other agents and the ego state to create safety-critical, out-of-distribution (OOD) scenarios — effectively treating the generative model as an adversarial scenario engine for training and validation. | Multimodal conditioning that fuses video, action traces, and text prompts to generate scenes — enabling scenario generation from language or trajectories and supporting both synthetic dataset creation and human-in-the-loop scenario specification.",high,high,0.87,127787,2026-03-07T20:21:00.339290+00:00,Waymo; Cruise (GM); Tesla (Autopilot / FSD); Mobileye / Intel; Motional (Aptiv + Hyundai); NVIDIA (Drive / Omniverse); Pony.ai / Aurora / Zoox / Nuro,"A foundation, end-to-end 'embodied AI' driving model trained via fleet learning and augmented by purpose-built generative world models (GAIA-2) and multimodal language-action models (LINGO-2) to achieve rapid, vehicle-agnostic generalization across cities with minimal local retuning.","The combination of a large-scale, end-to-end learned foundation driving model trained via fleet learning plus proprietary generative world models (GAIA-2) and multimodal language-enabled models (LINGO-2) that together enable rapid generalization to new cities, systematic synthetic edge-case generation, and human-readable model introspection.",medium
Series A - Spirit AI,https://www.crunchbase.com/funding_round/spirit-embodiedai-series-a--32ca65d7,Series A,2000000000,CNY,290006380,2026-02-24,Early Stage Venture,Spirit AI builds 'universal brain' for real-world robots.,https://www.spirit-ai.com/en,6,"Artificial Intelligence (AI), Internet, Robotics, Software","Beijing, Beijing, China, Asia","Chaos Investment, YF Capital",Yes,core,PI05 base 模型; JAX 模型; PyTorch 模型; openpi; transformers_replace; pi05_moz; openpi/assets/pi05_moz; gs://openpi-assets/checkpoints/pi05_pickplace,Continuous-learning Flywheels; Vertical Data Moats; Agentic Architectures; Micro-model Meshes,horizontal,industrial,humanoid robotics for manufacturing and logistics automation,b2b,"End-to-end embodied policy + whole-body force-control co-design: they combine a learned policy (PI05 base -> fine-tuned) with a WBC stack that includes whole-body kinematics, dynamics and force control. The docs explicitly describe a '大小脑深度融合' (big-brain / small-brain deep fusion) suggesting a hierarchical split: high-level learned policy outputs lower-frequency action sequences, and a low-level reflex/force-control loop enforces safety/torque/contacts. | Keyframe + interpolation control pipeline: the policy returns ~50 frames at 30 Hz and they interpolate to match the robot control loop at 120 Hz (they mention upsampling to ~200 frames). That is a pragmatic hybrid: generate semantically rich coarse trajectories from a model, then run deterministic interpolation/servo loops for low-latency stability. | Teleoperation-first data collection integrated with VR HMI: they have a mature VR teleop stack (Quest headset + controllers, MovaXHelper, ROS2 bridge, explicit follow modes for arms/waist-leg) — built for high-quality human demonstration capture. The stack includes careful state machines (Start Service -> handle popups -> Connect) and detailed failure modes for grippers/ros/mccore, indicating operationalized demo collection in real labs.",high,high,0.65,155515,2026-03-07T20:14:41.063079+00:00,Boston Dynamics; Figure (Figure AI) / Agility Robotics; Tesla (Optimus); NVIDIA (Isaac/Omniverse Robotics); Covariant / Berkshire Grey / RightHand (robotic manipulation software companies); Intrinsic / Everyday Robots (Alphabet / X’s robotics efforts); Universal Robots / ABB / Fanuc (cobots & industrial arms),"Vertical integration of humanoid hardware (high power‑density, force‑controlled joints + 26 DOF) with an embodied large‑model software stack (PI05 / OpenPI), developer SDKs (mozrobot, MovaXHelper), VR teleoperation/data‑collection tooling, and an end‑to‑end pipeline to fine‑tune and deploy learned policies onto a real robot.","A tightly integrated stack: proprietary/engineered force‑controlled, high power‑density humanoid hardware + whole‑body control algorithms + an embodied large model (PI05/OpenPI) trained/fine‑tuned with teleoperation‑collected real‑world datasets and provided developer tooling (SDK, teleop HMI) that closes the loop from human demonstration to deployed policy.",medium
Series D - ElevenLabs,https://www.crunchbase.com/funding_round/elevenlabs-series-d--da554db0,Series D,500000000,USD,500000000,2026-02-04,Late Stage Venture,"ElevenLabs is an AI company that offers tools for speech synthesis, voice cloning, dubbing, and audio generation.",http://elevenlabs.io,8,"Artificial Intelligence (AI), Content Creators, Developer APIs, Foundational AI, Generative AI","New York, New York, United States, North America",Sequoia Capital,Yes,core,eleven_v3; eleven_multilingual_v2; eleven_flash_v2_5; eleven_turbo_v2_5,Agentic Architectures; Micro-model Meshes; RAG (Retrieval-Augmented Generation); Agentic Architectures (Tool Use / Orchestration) - duplicate detectable aspect; Natural-Language-to-Code; Guardrail-as-LLM; Continuous-learning Flywheels; Knowledge Graphs; Vertical Data Moats,horizontal,developer_tools,Voice AI SDKs and APIs for building multimodal agents,b2b,"MCP server as a first-class integration surface: ElevenLabs ships an official Python Model Context Protocol (MCP) server that exposes TTS, voice-cloning, and audio processing to third‑party agent clients (Claude Desktop, Cursor, Windsurf, OpenAI Agents). This is more than a client SDK — it’s a runtime bridge that turns ElevenLabs audio services into composable agent tools. | Dual file/resource output modes with elevenlabs:// URIs: The MCP server supports 'files', 'resources' (base64-encoded payloads), and 'both', plus a custom elevenlabs://filename URI pattern. That design explicitly targets both traditional local workflows and containerized/serverless agent runtimes that lack disk I/O, reducing friction for embedding binary audio in agent protocols. | Developer-first UI registry layered on shadcn/ui: Rather than a standalone UI kit, ElevenLabs provides a shadcn-compatible component registry plus a CLI (npx @elevenlabs/cli) and shadcn JSON endpoints. This makes audio/agent UI components (orbs, waveforms, voice agents) pluggable into Next.js projects with one command — treating UI as a composable product distribution channel.",high,high,0.78,21257,2026-03-07T20:19:08.165243+00:00,"Google Cloud Text-to-Speech (WaveNet) / Google AI; Amazon Polly / AWS (including Neural TTS); Microsoft Azure TTS / Speech Services; OpenAI (speech + voice features, Whisper for STT and voice endpoints); Descript (Overdub) / Rephonic-style voice cloning tools; Resemble AI / Respeecher / Replica Studios / WellSaid Labs / Murf.ai; AssemblyAI / Deepgram / Rev.ai (speech-to-text providers); Character.ai / Replica / other conversational agent/character voice platforms","A developer-first, integrated multimodal audio platform that combines high-fidelity TTS (including instant voice cloning), low-latency real-time streaming, and agent tooling (SDKs, widgets, UI components, MCP integration) tailored for creators and interactive voice agents.","A combination of proprietary high-fidelity speech models tuned for expressiveness and cloning, low-latency real-time streaming infrastructure (WebRTC), and a developer-first integration ecosystem (SDKs, UI components, widgets, MCP server) that makes it easy to embed interactive voice agents.",medium
Venture Round - Axelera AI,https://www.crunchbase.com/funding_round/axelera-ai-series-unknown--440993b2,Venture - Series Unknown,250000000,USD,250000000,2026-02-24,,Axelera AI develops purpose-built AI hardware acceleration technology for computer vision and generative AI applications.,https://www.axelera.ai,9,"AI Infrastructure, Artificial Intelligence (AI), Machine Learning, Semiconductor, Software","Eindhoven, Noord-Brabant, The Netherlands, Europe",Innovation Industries,No,none,,Knowledge Graphs; Natural-Language-to-Code; Guardrail-as-LLM; Micro-model Meshes; Continuous-learning Flywheels; RAG (Retrieval-Augmented Generation); Agentic Architectures; Vertical Data Moats,horizontal,developer_tools,AI hardware acceleration toolchain and SDKs for ML/vision workloads,b2b,"They implemented a deliberately polyglot, cross-cloud serverless pipeline that stitches together multiple vendor services rather than relying on a single cloud: IBM Cloud Functions for Eventbrite ticket checks, AWS API Gateway + Lambda for minting endpoints, Alchemy as the Ethereum node provider, Pinata for IPFS pinning, and Supabase as the canonical database + auth store. That mosaic is operationally unusual for a small team and optimizes for best-of-breed APIs rather than vendor lock‑in. | Event-to-onchain automation is built end-to-end: Eventbrite purchase verification → Supabase event records → serverless wrapper → asset generation and IPFS pinning → smart contract minting via Hardhat/Alchemy. The explicit serverless wrapper that validates ticket ownership before triggering an on‑chain mint is a concrete, production-ready pattern for verifiable event credentials. | They use an Ionic + React front-end inside an Nx monorepo alongside Hardhat smart contract tooling. That combination (mobile-first UI + monorepo dev ergonomics + blockchain CI) shows they treat the app as both a consumer-grade product and a developer platform rather than a one-off demo.",medium,medium,0.60,10797,2026-03-07T20:21:35.417927+00:00,NVIDIA; Intel (Habana Labs); Graphcore; Cerebras; Groq; Hailo; Qualcomm (Snapdragon / Cloud AI); SambaNova / Tenstorrent,Positioning as a purpose‑built hardware accelerator specifically optimized for computer vision and generative AI workloads rather than a general‑purpose GPU or broad ML processor.,"A purpose‑built accelerator architecture and associated software stack engineered specifically for the performance, latency and power characteristics of computer vision and generative AI workloads (hardware/software co‑design).",medium
Series B - MatX,https://www.crunchbase.com/funding_round/matx-series-b--9dfae479,Series B,500000000,USD,500000000,2026-02-24,Early Stage Venture,MatX is an AI semiconductor company that designs custom chips and hardware architectures to support large language models.,https://matx.com,3,"AI Infrastructure, Artificial Intelligence (AI), Hardware, Manufacturing, Semiconductor","Mountain View, California, United States, North America","Jane Street Capital, Situational Awareness",Yes,enhancement,Llama family; Leaky (1B-parameter model variant); Fixed (1B-parameter model variant); MXFP4 (quantization format for attention); C4 dataset; seqax codebase; GQA (Grouped Query Attention); MQA (Multi-Query Attention); MVA (Multi Value Attention); SMVA (Sparse Multi Value Attention),Micro-model Meshes,horizontal,industrial,AI hardware acceleration for large language models,b2b,"They discovered a subtle causal leak introduced by block-wise quantization: the per-block shared scale (used in microscaling/MXFP4) makes quantized K/V at earlier token positions depend on later tokens inside the same quantization block, which breaks causal LM training. | Their surgical fix: keep the specific block-diagonal tile multiply (the tile where query-block index == key-block index) unquantized while using block-quantized matmuls everywhere else. This preserves throughput for most ops but blocks the single leakage path. | They quantize not only forward attention matmuls but also the attention gradient, and use different rounding strategies: round-to-nearest for forward, stochastic rounding for backward—an explicit rounding-mode design to stabilize low-precision training.",high,high,0.68,82435,2026-03-07T20:26:29.562744+00:00,NVIDIA; Google (TPU / Vertex / TPU Research Cloud); Cerebras; Graphcore; Groq / Tenstorrent / SambaNova; Intel (Habana); DeepSpeed / Microsoft Research / MosaicML; DeepSeek / Moonshot AI,Tight hardware-software co-design centered on extreme low-precision compute (block micro-formats and MXFP4-style approaches) plus novel attention/KV-cache algorithms to drastically reduce memory bandwidth and end-to-end inference cost.,"Integrated co-design of silicon, low‑precision compute formats, compiler/kernels and novel attention algorithms (MXFP4 + training-safe block-quantized attention + SMVA/Sparse V + SD-aware sparse attention) that together reduce memory bandwidth and increase throughput for LLM decoding and training.",medium
Series G - Anthropic,https://www.crunchbase.com/funding_round/anthropic-series-g--d95127fa,Series G,30000000000,USD,30000000000,2026-02-12,Late Stage Venture,"Anthropic is an AI safety and research company that builds reliable, interpretable, and steerable AI systems.",https://www.anthropic.com,17,"Artificial Intelligence (AI), Foundational AI, Generative AI, Information Technology, Machine Learning","San Francisco, California, United States, North America","Coatue, D. E. Shaw & Co., Dragoneer Investment Group, Founders Fund, GIC, ICONIQ Capital, MGX",,,,,,,,,,,,,,,,,,
Series A - Apptronik,https://www.crunchbase.com/funding_round/apptronik-series-a--ddd1c928,Series A,520000000,USD,520000000,2026-02-11,Early Stage Venture,Apptronik is a robotics company that designs and builds humanoid robots for various real-world applications.,https://apptronik.com,6,"Artificial Intelligence (AI), Industrial Automation, Machinery Manufacturing, Robotics","Austin, Texas, United States, North America","B Capital, Google, Mercedes-Benz Group AG",No,unclear,NVIDIA Project GR00T; Google DeepMind,Continuous-learning Flywheels; Agentic Architectures; Vertical Data Moats; Micro-model Meshes; RAG (Retrieval-Augmented Generation); Guardrail-as-LLM; Knowledge Graphs; Natural-Language-to-Code,horizontal,industrial,manufacturing and logistics automation (robotics),b2b,"Proprietary linear-actuator-first strategy: Apptronik emphasizes linear actuators that 'mimic human muscles' across multiple platforms (Apollo, Astra, QDA/QDB, Draco). This departs from many robotics efforts that rely on highly geared rotary motors; linear actuators + series elasticity provide a torque-dense, compliant joint architecture that simplifies force control and safe human interaction but requires non-trivial mechanical, thermal, and control engineering. | Force-control-first architecture + flexible safety perimeter: they explicitly call out a unique force control stack and a 'flexible safety zone perimeter' enabling close-proximity work with humans. That suggests integrated low-latency torque sensing, model-based control, and configurable runtime safety envelopes rather than purely conservative collision-stop systems. | Swappable battery pack and operational-time claim as a product differentiator: Apollo is positioned with swappable batteries and claims the 'highest operational time of any humanoid.' That's an unusual product-level choice vs. continuous tethering or short-run batteries — it shifts complexity to battery handling, hot-swap mechanics, and power management infrastructure in facilities.",medium,medium,0.58,106467,2026-03-07T20:34:24.209701+00:00,"Agility Robotics; Figure (Figure Labs); Tesla (Optimus); Boston Dynamics / Hyundai (Stretch, Atlas research); Traditional industrial robot vendors (ABB, KUKA, FANUC); AMR / piece-picking ecosystem (Locus Robotics, Fetch/Zebra, GreyOrange, Plus One/Covariant)","A general-purpose humanoid robot (Apollo) designed to operate directly in human-centric workspaces and perform a wide range of logistics and manufacturing tasks that special-purpose robots and AMRs cannot, enabled by proprietary actuation and force-control systems plus strategic AI and manufacturing partnerships.","Integrated stack combining specialized hardware (linear actuators, force-control, gravity-compensating arms, swappable batteries) built from a decade of building multiple robotic systems, paired with AI partnerships and commercial pilots that generate task and operational data plus a manufacturing/scale path (Jabil) and deep strategic investors/partners to accelerate real-world deployments.",medium
